tanggal,reg,nearend,farend,speed,utz(%),tahun,tren,port_use,port_abandoned,speed list
2022-06-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.75965,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2022-07-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2022-08-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2022-09-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2022-10-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2022-11-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.76295,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2022-12-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.76207,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-01-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.76332,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-02-28 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.76216,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-03-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.76335,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-04-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.76357,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-05-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-06-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.76325,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-07-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.76408,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-08-31 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,7.88844347,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
2023-09-30 00:00:00,2,ME-D2-CIL,172.24.19.61,-28064771072,0.001179643,5,1654.73,"['port5/1/9', 'port3/2/5', 'port5/1/5', 'port3/2/6', 'port1/1/c4/1', 'port3/2/1', 'port1/1/c1/1', 'port1/1/c12/1', 'port1/1/c6/1', 'port1/1/c7/1', 'port3/1/1', 'port1/1/c2/1', 'port3/2/2', 'port3/1/6', 'port3/2/4', '3/2/1']",[],"[1000000000, -2147483648, 1000000000, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648, -2147483648]"
